Applications/Archiving 	 cpio
Applications/Archiving 	 dump
Applications/Archiving 	 k3b
Applications/Archiving 	 lzop
Applications/Archiving 	 pax
Applications/Archiving 	 sharutils
Applications/Archiving 	 star
Applications/Archiving 	 tar
Applications/Archiving 	 udftools
Applications/Archiving 	 unzip
Applications/Archiving 	 zip
Applications/Archiving 	 zziplib
Applications/Communications 	 compat-gnome-bluetooth38
Applications/Communications 	 efax
Applications/Communications 	 ekiga
Applications/Communications 	 freerdp
Applications/Communications 	 irssi
Applications/Communications 	 lrzsz
Applications/Communications 	 mgetty
Applications/Communications 	 minicom
Applications/Communications 	 telepathy-gabble
Applications/Communications 	 telepathy-haze
Applications/Communications 	 telepathy-logger
Applications/Communications 	 telepathy-salut
Applications/Databases 	 hsqldb
Applications/Databases 	 mariadb
Applications/Databases 	 postgresql
Applications/Databases 	 postgresql-jdbc
Applications/Databases 	 postgresql-odbc
Applications/Databases 	 PyGreSQL
Applications/Databases 	 python-psycopg2
Applications/Databases 	 rhdb-utils
Applications/Databases 	 rrdtool
Applications/Databases 	 sqlite3
Applications/Databases 	 tcl-pgtcl
Applications/Databases 	 virtuoso-opensource
Applications/Editors 	 emacs
Applications/Editors 	 emacs-auctex
Applications/Editors 	 emacs-php-mode
Applications/Editors 	 gedit-plugins
Applications/Editors 	 nano
Applications/Editors 	 vim
Applications/Emulators 	 advancecomp
Applications/Emulators 	 ovmf
Applications/Emulators 	 seabios
Applications/Emulators 	 sgabios
Applications/Emulators 	 SLOF
Applications/Emulators 	 virt-manager
Applications/Engineering 	 bc
Applications/Engineering 	 gnuplot
Applications/Engineering 	 mpitests
Applications/Engineering 	 units
Applications/File 	 bzip2
Applications/File 	 file
Applications/File 	 filebench
Applications/File 	 findutils
Applications/File 	 gzip
Applications/File 	 ncompress
Applications/File 	 pngcrush
Applications/File 	 rear
Applications/File 	 recode
Applications/File 	 scl-utils
Applications/File 	 tree
Applications/File 	 xz
Applications/Internet 	 bogofilter
Applications/Internet 	 centos-bookmarks
Applications/Internet 	 curl
